6109	3896	10251	5429	974	2775	4590	6633	8500	8070
5014	7005	7830	10370	2684	4683	9364	3785	8444	1003
9771	5127	5983	2708	6614	6467	7589	7659	6893	5251
2066	2521	4812	5063	8435	6668	3862	6170	6139	624
1582	954	9703	2156	4121	5964	3008	1621	5242	9491
4830	5423	573	1774	2007	2559	3167	2653	1496	8690
10326	3307	4478	2946	8010	759	9156	9488	7822	8242
4948	769	9325	10204	6613	8559	1599	4975	10052	8529
2285	3870	2970	5827	5539	2838	6277	4156	8119	6124
6252	2452	6869	6791	10284	3645	7755	7431	1937	8937
9418	4513	1985	6069	2250	6467	3681	5249	7446	10164
3375	4494	10341	7881	5750	537	2998	1571	835	9532
7260	3180	8589	921	7652	812	2782	6266	3475	723
6627	1732	6404	7676	1356	1541	4324	1263	4143	3325
2721	6054	5441	4350	1503	2259	6564	2957	9058	9414
756	3664	1456	3312	871	8883	4620	3291	6431	9920
5778	7387	9988	597	9803	6455	8598	8219	9352	5992
9085	9773	2972	8404	2000	3247	1993	5484	10103	5559
3818	2024	3565	8694	7641	3815	6963	5081	9366	6628
877	5712	4542	5047	1721	6091	2992	4253	2828	550
7936	7091	10232	6082	1844	7896	9072	7539	6038	2387
4591	469	1492	524	1978	8650	9744	4495	7717	2312
1258	8866	5369	1590	6828	4521	3819	6847	2388	4721
6370	8277	1564	7800	1021	5484	1888	2643	7006	1060
1731	2276	3801	5679	4484	5541	7853	858	7592	1476
4575	3503	717	3609	8379	2118	1878	2697	9923	3541
8752	6657	5424	894	10421	7751	861	1247	5332	4536
9028	3867	4619	9075	1617	10235	3053	1328	4881	6808
4264	5365	8965	2064	2966	3730	5746	3142	5386	7391
1730	6343	1336	4416	8232	1128	1586	3149	7226	3381
2334	1733	2309	10301	5513	6491	4985	6698	6993	4626
7417	5821	7716	10240	4661	7790	7814	5573	8276	8458
1005	1824	6085	6592	6173	6327	8862	8843	9764	6363
4379	3122	1623	2929	10219	2102	6412	9559	876	7639
3136	9838	1733	655	9739	8881	5071	5937	4749	5960
2695	2959	6066	6902	4262	3321	10252	9374	4812	6120
4038	3644	2650	2182	3279	8258	10053	10370	6447	2951
7316	7650	10224	8476	2770	2640	467	937	9095	10063
2669	7996	2575	1520	2734	6054	3515	2366	1252	9225
5150	2413	8925	3961	5967	5014	8056	3163	6108	9846
9508	5925	1565	4351	482	8916	6434	8112	3345	1728
9062	6672	4568	2037	3688	7945	4254	1043	3664	4853
2780	9242	1950	2153	7638	8944	2261	5625	6603	10135
9846	6649	5051	5492	6122	8340	769	1738	6861	4852
6031	2775	6664	7968	10291	9715	9273	4176	6228	2627
3172	4702	5621	5194	9314	4228	3137	7490	2906	6611
2544	4330	885	912	5991	8234	8635	4684	7860	551
3713	7248	8799	7555	7515	3852	5752	9701	2898	3213
5216	4618	9264	5296	6615	8869	2667	4722	9871	8064
6071	7918	4555	10170	7512	4092	6864	7276	9778	4114
5353	1007	5729	1811	5808	7767	1310	6087	9173	10084
7828	10415	3044	5663	8227	2595	9018	2390	4557	9902
2200	7271	6052	10140	5930	2403	8058	4908	10223	6834
8146	7541	6970	2957	8976	9757	6623	3275	625	6553
10327	3568	6622	7469	1375	4567	729	4130	4410	1860
10023	2077	5476	8399	4173	7850	3941	2961	471	5545
9942	4603	5759	1042	1724	7698	5010	8970	7437	6869
2109	8423	3626	2209	6421	5357	1192	4424	10024	6916
2018	4072	8079	2668	6781	6759	10340	9490	5841	5039
6338	9038	2995	9027	3382	9148	1865	5442	6388	7781
1595	7214	9833	9734	10247	4873	6667	3918	4697	1417
6284	592	8718	9475	9745	6463	742	1428	2297	2209
5897	10384	5399	1590	4757	8755	6874	8967	6328	7269
8124	9988	1088	4141	7470	7351	2963	7288	7831	934
3921	5521	4675	5409	1159	7999	3538	5687	1186	3502
1641	2522	1966	4423	1494	9380	3010	7828	665	4759
8360	1132	6609	426	6014	2438	5754	3661	5169	5147
6277	3273	653	5429	5219	6555	2623	1002	485	4261
4626	5074	618	1608	6916	8749	10021	937	7084	4591
4803	10154	3314	2395	9825	3485	2489	6387	4108	4825
1952	3507	9714	3718	10194	2952	3129	9153	10135	6786
1322	5443	1327	8592	7616	9653	3983	5713	10058	10036
9644	6028	8980	4019	7078	5956	6003	9694	9943	1225
8122	2409	5623	6979	2394	5570	5605	9293	6386	2443
1358	4464	6397	5861	7235	2006	10343	8396	1791	1390
6553	3401	4448	6347	3829	9723	5563	557	1711	955
3944	6935	8538	7311	6887	2263	3104	8853	1828	6414
1485	9664	10031	6890	6299	3079	5930	7154	7237	3430
10195	6961	6221	6731	2727	5254	3151	6031	7094	3398
4742	7243	2028	6797	6259	9793	10238	8843	4773	9599
9318	6315	5756	1480	6648	7815	3388	5703	872	1026
3243	1655	7247	3038	5597	4857	1889	5201	2815	8015
7065	10388	8402	1203	7743	5236	7131	4248	2829	4431
7570	1795	2676	9499	1807	8530	5699	10325	6961	1146
2341	4290	10460	8222	7462	1601	8611	9933	4320	7562
5514	1121	550	6012	3021	8275	5937	2138	2572	9501
989	3181	2276	2863	1666	2680	5495	4212	1098	4573
2242	7517	3133	2953	9796	1097	7210	6167	4171	2924
8281	4917	1335	2168	4222	1694	9795	9561	924	1057
1246	2118	9000	7525	7294	9996	5019	1208	7501	8304
9655	2350	7393	9958	2190	1208	4062	5524	7399	6274
9582	6597	8092	10031	6074	4779	1033	565	2713	9592
5412	4261	7845	9142	5540	10113	3300	6974	9427	515
7532	2401	2427	1629	9269	2947	5837	875	6269	1702
2232	8144	3580	4480	7078	10115	7761	2880	4103	5257
5923	7260	6200	1251	8369	8303	6285	3938	6113	9001
9225	9186	9751	6069	9776	9795	5791	5632	8009	6634
1971	2881	6270	401	3354	8110	2612	4627	4502	4597
4608	6941	6310	6915	2464	552	6287	8726	2189	6379
4050	2042	5268	9748	3186	4572	2553	477	1759	8397
